Name of Event,Start Date,End Date,Event Link,Event Details,Organizer Name,POC 
Winter Of Code Social,11/1/2025,1/31/2025,woc.codesocial.tech,"Join Winter of Code Social 2025!

Winter of Code Social is a three-month open-source program from November 1, 2025 to January 31, 2026. It brings together students, developers, and mentors to build real projects, learn new skills, and grow as a community.

If you want to get hands-on experience, meet people who love to build, and see your ideas come to life, this is for you. You can join as a contributor, mentor, or project admin and be part of something that makes learning real and fun.

? Learn by doing
?? Collaborate with mentors
?? Build impactful projects

Visit woc.codesocial.tech to register and start your journey. Let’s code, learn, and grow together this winter!",Code Social Community,Arushi Malhotra
,,,,Picture,,
